molecule_chembl_id,canonical_smiles,standard_value,standard_units,assay_description
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.25,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 35 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.25,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 36 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 31 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 32 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 33 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 34 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 35 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.38,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 31 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 32 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 33 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 34 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by agar dilution method"
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by agar dilution method"
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by agar dilution method"
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,0.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by agar dilution method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii beta clonal group isolate 13 expressing ompA, adeB, adeM, aacA4, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii beta clonal group isolate 14 expressing ompA, adeB, adeM, aacA4, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii beta clonal group isolate 15 expressing ompA, adeB, adeM, aacA4, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii beta clonal group isolate 16 expressing ompA, adeB, adeM, aacA4, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii beta clonal group isolate 17 expressing ompA, adeB, adeM, aacA4, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.75,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 19 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.75,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 20 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 24 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 25 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 26 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 19 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 20 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.5,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 31 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 32 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 35 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 36 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 31 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 32 expressing ampC, ompA, adeB, adeM, aadB, aadA2 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 33 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 34 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 33 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii nu clonal group isolate 34 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,12.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,12.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 19 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,12.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 20 expressing ampC, ompA, adeB, adeM, aacC2 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 35 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii eta clonal group isolate 36 expressing ampC, ompA, adeB, adeM by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii lambda clonal group isolate 28 expressing ampC, ompA, adeM, aadB, aadA1 by Etest method"
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii lambda clonal group isolate 29 expressing ampC, ompA, adeM, aadB, aadA1 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 4 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 5 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii lambda clonal group isolate 28 expressing ampC, ompA, adeM, aadB, aadA1 by Etest method"
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii lambda clonal group isolate 29 expressing ampC, ompA, adeM, aadB, aadA1 by Etest method"
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 24 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 25 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,16.0,ug.mL-1,"Antimicrobial activity against ISAba1 linked with the blaOXA-51-type beta-lactamase harboring Acinetobacter baumannii zeta clonal group isolate 26 expressing ampC, ompA, adeB, adeM, aadA1, aacA4, aacC2, blaSHV-5 by Etest method"
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,2.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 2 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,2.0,ug.mL-1,"Antimicrobial activity against Acinetobacter baumannii alpha clonal group isolate 3 expressing ampC, ompA, adeB, adeM, aacC1, aadA1 by Etest method"
